"TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize,Trigger,Subject_ID,Calibration_status"
"-210.2,,,0,,,0,,,,0,,0,,3001,0,0"
"-193.5,,,0,,,0,,,,0,,0,,3001,0,0"
"-163.6,,,0,,,0,,,,0,,0,,3001,0,0"
"-146.9,,,0,,,0,,,,0,,0,,3001,0,0"
"-130.2,,,0,,,0,,,,0,,0,,3001,0,0"
"-113.6,,,0,,,0,,,,0,,0,,3001,0,0"
"-97.0,,,0,,,0,,,,0,,0,,3001,0,0"
"-80.4,,,0,,,0,,,,0,,0,,3001,0,0"
"-63.7,,,0,,,0,,,,0,,0,,3001,0,0"
"-47.1,,,0,,,0,,,,0,,0,,3001,0,0"
"-30.4,,,0,,,0,,,,0,,0,,3001,0,0"
"-13.8,,,0,,,0,,,,0,,0,,3001,0,0"
"2.9,,,0,,,0,,,,0,,0,,3001,0,0"
"19.6,,,0,,,0,,,,0,,0,,3001,0,0"
"36.3,,,0,,,0,,,,0,,0,,3001,0,0"
"52.9,,,0,,,0,,,,0,,0,,3001,0,0"
"69.6,,,0,,,0,,,,0,,0,,3001,0,0"
"86.2,,,0,,,0,,,,0,,0,,3001,0,0"
"102.9,,,0,,,0,,,,0,,0,,3001,0,0"
"119.6,,,0,,,0,,,,0,,0,,3001,0,0"
"136.2,,,0,,,0,,,,0,,0,,3001,0,0"
"152.9,,,0,,,0,,,,0,,0,,3001,0,0"
"169.5,,,0,,,0,,,,0,,0,,3001,0,0"
"186.2,,,0,,,0,,,,0,,0,,3001,0,0"
"202.9,,,0,,,0,,,,0,,0,,3001,0,0"
"219.5,,,0,,,0,,,,0,,0,,3001,0,0"
"236.2,,,0,,,0,,,,0,,0,,3001,0,0"
"252.8,,,0,,,0,,,,0,,0,,3001,0,0"
"269.5,,,0,,,0,,,,0,,0,,3001,0,0"
"286.1,,,0,,,0,,,,0,,0,,3001,0,0"
"302.8,,,0,,,0,,,,0,,0,,3001,0,0"
"319.5,,,0,,,0,,,,0,,0,,3001,0,0"
"336.1,,,0,,,0,,,,0,,0,,3001,0,0"
"352.8,,,0,,,0,,,,0,,0,,3001,0,0"
"369.4,,,0,,,0,,,,0,,0,,3001,0,0"
"386.1,,,0,,,0,,,,0,,0,,3001,0,0"
"402.7,,,0,,,0,,,,0,,0,,3001,0,0"
"419.4,,,0,,,0,,,,0,,0,,3001,0,0"
"436.1,,,0,,,0,,,,0,,0,,3001,0,0"
"452.7,,,0,,,0,,,,0,,0,,3001,0,0"
"469.4,,,0,,,0,,,,0,,0,,3001,0,0"
"486.0,,,0,,,0,,,,0,,0,,3001,0,0"
"519.2,,,0,,,0,,,,0,,0,,3001,0,0"
"535.8,,,0,,,0,,,,0,,0,,3001,0,0"
"552.5,,,0,,,0,,,,0,,0,,3001,0,0"
"569.2,,,0,,,0,,,,0,,0,,3001,0,0"
"585.8,,,0,,,0,,,,0,,0,,3001,0,0"
"602.5,,,0,,,0,,,,0,,0,,3001,0,0"
"619.1,,,0,,,0,,,,0,,0,,3001,0,0"
"635.8,,,0,,,0,,,,0,,0,,3001,0,0"
"652.4,,,0,,,0,,,,0,,0,,3001,0,0"
"669.1,,,0,-709.0,-130.0,1,-709.0,-130.0,,0,3.1496,1,3.1496,3001,0,0"
"685.8,,,0,-709.0,-130.0,1,-709.0,-130.0,,0,3.1496,1,3.1496,3001,0,0"
"702.4,,,0,-724.0,-108.0,1,-724.0,-108.0,,0,3.1461,1,3.1461,3001,0,0"
"719.1,,,0,-724.0,-108.0,1,-724.0,-108.0,,0,3.1461,1,3.1461,3001,0,0"
