TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight	PupilSize
-210.5	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-193.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-162.2	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-145.6	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-111.6	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-94.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-78.2	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-61.6	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-44.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-28.3	-65.0	-166.0	1	nan	nan	0	-65.0	-166.0	3.0962	1	nan	0	3.0962
-11.6	-24.0	-154.0	1	nan	nan	0	-24.0	-154.0	3.1287	1	nan	0	3.1287
5.1	-17.0	-114.0	1	-38.0	-155.0	1	-27.5	-134.5	3.2144	1	2.9345	1	3.0744
21.7	-20.0	-92.0	1	24.0	-139.0	1	2.0	-115.5	3.3055	1	3.0243	1	3.1649
38.4	-4.0	-78.0	1	41.0	-128.0	1	18.5	-103.0	3.3867	1	3.0856	1	3.2362
55.0	-15.0	-77.0	1	21.0	-104.0	1	3.0	-90.5	3.4384	1	3.1543	1	3.2963
71.7	2.0	-69.0	1	21.0	-93.0	1	11.5	-81.0	3.4674	1	3.1985	1	3.333
88.3	-11.0	-60.0	1	13.0	-92.0	1	1.0	-76.0	3.4749	1	3.1995	1	3.3372
105.0	-22.0	-59.0	1	23.0	-69.0	1	0.5	-64.0	3.4826	1	3.1849	1	3.3337
121.7	-20.0	-58.0	1	22.0	-77.0	1	1.0	-67.5	3.4836	1	3.2086	1	3.3461
138.3	-20.0	-54.0	1	19.0	-90.0	1	-0.5	-72.0	3.4813	1	3.2157	1	3.3485
155.0	-16.0	-51.0	1	18.0	-83.0	1	1.0	-67.0	3.4791	1	3.2169	1	3.348
171.6	-1.0	-63.0	1	11.0	-74.0	1	5.0	-68.5	3.4816	1	3.2347	1	3.3582
188.3	3.0	-69.0	1	20.0	-72.0	1	11.5	-70.5	3.4859	1	3.2247	1	3.3553
204.9	3.0	-68.0	1	21.0	-66.0	1	12.0	-67.0	3.4898	1	3.2273	1	3.3585
221.6	-1.0	-59.0	1	-1.0	-80.0	1	-1.0	-69.5	3.4979	1	3.2651	1	3.3815
238.2	-2.0	-51.0	1	2.0	-78.0	1	0.0	-64.5	3.5027	1	3.2633	1	3.383
254.9	7.0	-57.0	1	17.0	-66.0	1	12.0	-61.5	3.507	1	3.2561	1	3.3816
271.5	-6.0	-62.0	1	15.0	-77.0	1	4.5	-69.5	3.5084	1	3.2626	1	3.3855
288.2	-6.0	-61.0	1	-0.0	-65.0	1	-3.0	-63.0	3.5079	1	3.2625	1	3.3852
304.9	6.0	-56.0	1	0.0	-58.0	1	3.0	-57.0	3.5145	1	3.2706	1	3.3926
321.5	-2.0	-57.0	1	11.0	-65.0	1	4.5	-61.0	3.5216	1	3.2843	1	3.403
338.2	-7.0	-49.0	1	7.0	-73.0	1	0.0	-61.0	3.5287	1	3.2735	1	3.4011
